years,place,lat,lon
1,New York,40.7127837,-74.0059413
1,Los Angeles,34.0522342,-118.2436849
1,Chicago,41.8781136,-87.6297982
1,Houston,29.7604267,-95.3698028
1,Philadelphia,39.9525839,-75.1652215
1,Phoenix,33.4483771,-112.0740373
1,San Antonio,29.4241219,-98.4936282
1,San Diego,32.715738,-117.1610838
1,Dallas,32.7766642,-96.7969879
1,San Jose,37.3382082,-121.8863286
1,Austin,30.267153,-97.7430608
1,Indianapolis,39.768403,-86.158068
1,Jacksonville,30.3321838,-81.655651
1,San Francisco,37.7749295,-122.4194155
1,Columbus,39.9611755,-82.9987942
1,Charlotte,35.2270869,-80.8431267
1,Fort Worth,32.7554883,-97.3307658
1,Detroit,42.331427,-83.0457538
1,El Paso,31.7775757,-106.4424559
1,Memphis,35.1495343,-90.0489801
1,Seattle,47.6062095,-122.3320708
1,Denver,39.7392358,-104.990251
1,Washington,38.9071923,-77.0368707
1,Boston,42.3600825,-71.0588801
1,Nashville-Davidson,36.1626638,-86.7816016
1,Baltimore,39.2903848,-76.6121893
1,Oklahoma City,35.4675602,-97.5164276
1,Louisville/Jefferson County,38.2526647,-85.7584557
1,Portland,45.5230622,-122.6764816
1,Las Vegas,36.1699412,-115.1398296
1,Milwaukee,43.0389025,-87.9064736
1,Albuquerque,35.0853336,-106.6055534
1,Tucson,32.2217429,-110.926479
1,Fresno,36.7468422,-119.7725868
1,Sacramento,38.5815719,-121.4943996
1,Long Beach,33.7700504,-118.1937395
1,Kansas City,39.0997265,-94.5785667
1,Mesa,33.4151843,-111.8314724
1,Virginia Beach,36.8529263,-75.977985
1,Atlanta,33.7489954,-84.3879824
1,Colorado Springs,38.8338816,-104.8213634
1,Omaha,41.2523634,-95.9979883
1,Raleigh,35.7795897,-78.6381787
1,Miami,25.7616798,-80.1917902
1,Oakland,37.8043637,-122.2711137
1,Minneapolis,44.977753,-93.2650108
1,Tulsa,36.1539816,-95.992775
1,Cleveland,41.49932,-81.6943605
1,Wichita,37.688889,-97.336111
1,Arlington,32.735687,-97.1080656
1,New Orleans,29.9510658,-90.0715323
1,Bakersfield,35.3732921,-119.0187125
1,Tampa,27.950575,-82.4571776
1,Honolulu,21.3069444,-157.8583333
1,Aurora,39.7294319,-104.8319195
1,Anaheim,33.8352932,-117.9145036
1,Santa Ana,33.7455731,-117.8678338
1,St. Louis,38.6270025,-90.1994042
1,Riverside,33.9533487,-117.3961564
1,Corpus Christi,27.8005828,-97.396381
1,Lexington-Fayette,38.0405837,-84.5037164
1,Pittsburgh,40.4406248,-79.9958864
1,Anchorage,61.2180556,-149.9002778
1,Stockton,37.9577016,-121.2907796
1,Cincinnati,39.1031182,-84.5120196
1,St. Paul,44.9537029,-93.0899578
1,Toledo,41.6639383,-83.555212
1,Greensboro,36.0726354,-79.7919754
1,Newark,40.735657,-74.1723667
1,Plano,33.0198431,-96.6988856
1,Henderson,36.0395247,-114.9817213
1,Lincoln,40.8257625,-96.6851982
1,Buffalo,42.8864468,-78.8783689
1,Jersey City,40.7281575,-74.0776417
1,Chula Vista,32.6400541,-117.0841955
1,Fort Wayne,41.079273,-85.1393513
1,Orlando,28.5383355,-81.3792365
1,St. Petersburg,27.773056,-82.64
1,Chandler,33.3061605,-111.8412502
1,Laredo,27.5305671,-99.4803241
1,Norfolk,36.8507689,-76.2858726
1,Durham,35.9940329,-78.898619
1,Madison,43.0730517,-89.4012302
1,Lubbock,33.5778631,-101.8551665
1,Irvine,33.6839473,-117.7946942
1,Winston-Salem,36.0998596,-80.244216
1,Glendale,33.5386523,-112.1859866
1,Garland,32.912624,-96.6388833
1,Hialeah,25.8575963,-80.2781057
1,Reno,39.5296329,-119.8138027
1,Chesapeake,36.7682088,-76.2874927
1,Gilbert,33.3528264,-111.789027
1,Baton Rouge,30.4582829,-91.1403196
1,Irving,32.8140177,-96.9488945
1,Scottsdale,33.4941704,-111.9260519
1,North Las Vegas,36.1988592,-115.1175013
1,Fremont,37.5482697,-121.9885719
1,Boise City,43.6187102,-116.2146068
1,Richmond,37.5407246,-77.4360481
1,San Bernardino,34.1083449,-117.2897652
